make,model,variant,fuel_type,transmission,engine_cc,current_drivetrain,legacy_make,legacy_model,legacy_variant,legacy_drivetrain,match_method,match_confidence,recovery_status,reason
Hyundai,Creta,E Petrol 1.5L Manual,Petrol,Manual,1497,,Hyundai,Creta,,FWD,model_uniform,high,AUTO_ACCEPT_MODEL_UNIFORM,legacy_model_family_uniform_valid_drivetrain
Hyundai,Creta,EX Petrol 1.5L Manual,Petrol,Manual,1497,,Hyundai,Creta,,FWD,model_uniform,high,AUTO_ACCEPT_MODEL_UNIFORM,legacy_model_family_uniform_valid_drivetrain
Hyundai,Creta,E Diesel 1.5L Turbo Manual,Diesel,Manual,1493,,Hyundai,Creta,,FWD,model_uniform,high,AUTO_ACCEPT_MODEL_UNIFORM,legacy_model_family_uniform_valid_drivetrain
Hyundai,Creta,EX (O) Petrol 1.5L Manual,Petrol,Manual,1497,,Hyundai,Creta,,FWD,model_uniform,high,AUTO_ACCEPT_MODEL_UNIFORM,legacy_model_family_uniform_valid_drivetrain
Hyundai,Creta,EX Diesel 1.5L Turbo Manual,Diesel,Manual,1493,,Hyundai,Creta,,FWD,model_uniform,high,AUTO_ACCEPT_MODEL_UNIFORM,legacy_model_family_uniform_valid_drivetrain
Hyundai,Creta,S (O) Petrol 1.5L Manual,Petrol,Manual,1497,,Hyundai,Creta,,FWD,model_uniform,high,AUTO_ACCEPT_MODEL_UNIFORM,legacy_model_family_uniform_valid_drivetrain
Hyundai,Creta,S (O) Knight Petrol 1.5L Manual Knight Edition,Petrol,Manual,1497,,Hyundai,Creta,,FWD,model_uniform,high,AUTO_ACCEPT_MODEL_UNIFORM,legacy_model_family_uniform_valid_drivetrain
Hyundai,Creta,EX (O) Petrol 1.5L CVT Speed Automatic (CVT),Petrol,Automatic (CVT),1497,,Hyundai,Creta,,FWD,model_uniform,high,AUTO_ACCEPT_MODEL_UNIFORM,legacy_model_family_uniform_valid_drivetrain
Hyundai,Creta,EX (O) Diesel 1.5L Turbo Manual,Diesel,Manual,1493,,Hyundai,Creta,,FWD,model_uniform,high,AUTO_ACCEPT_MODEL_UNIFORM,legacy_model_family_uniform_valid_drivetrain
Hyundai,Creta,SX Petrol 1.5L Manual,Petrol,Manual,1497,,Hyundai,Creta,,FWD,model_uniform,high,AUTO_ACCEPT_MODEL_UNIFORM,legacy_model_family_uniform_valid_drivetrain
Hyundai,Creta,SX Petrol 1.5L Manual Dual Tone,Petrol,Manual,1497,,Hyundai,Creta,,FWD,model_uniform,high,AUTO_ACCEPT_MODEL_UNIFORM,legacy_model_family_uniform_valid_drivetrain
Hyundai,Creta,S (O) Petrol 1.5L CVT Speed Automatic (CVT),Petrol,Automatic (CVT),1497,,Hyundai,Creta,,FWD,model_uniform,high,AUTO_ACCEPT_MODEL_UNIFORM,legacy_model_family_uniform_valid_drivetrain
Hyundai,Creta,S (O) Diesel 1.5L Turbo Manual,Diesel,Manual,1493,,Hyundai,Creta,,FWD,model_uniform,high,AUTO_ACCEPT_MODEL_UNIFORM,legacy_model_family_uniform_valid_drivetrain
Hyundai,Creta,S (O) Knight Diesel 1.5L Turbo Manual Knight Edition,Diesel,Manual,1493,,Hyundai,Creta,,FWD,model_uniform,high,AUTO_ACCEPT_MODEL_UNIFORM,legacy_model_family_uniform_valid_drivetrain
Hyundai,Creta,SX Premium Petrol 1.5L Manual,Petrol,Manual,1497,,Hyundai,Creta,,FWD,model_uniform,high,AUTO_ACCEPT_MODEL_UNIFORM,legacy_model_family_uniform_valid_drivetrain
Hyundai,Creta,SX Premium Petrol 1.5L Manual Dual Tone,Petrol,Manual,1497,,Hyundai,Creta,,FWD,model_uniform,high,AUTO_ACCEPT_MODEL_UNIFORM,legacy_model_family_uniform_valid_drivetrain
Hyundai,Creta,King Edition Petrol 1.5L Manual,Petrol,Manual,1497,,Hyundai,Creta,,FWD,model_uniform,high,AUTO_ACCEPT_MODEL_UNIFORM,legacy_model_family_uniform_valid_drivetrain
Hyundai,Creta,S (O) Diesel 1.5L Turbo Automatic (TC),Diesel,Automatic (TC),1493,,Hyundai,Creta,,FWD,model_uniform,high,AUTO_ACCEPT_MODEL_UNIFORM,legacy_model_family_uniform_valid_drivetrain
Hyundai,Creta,King Edition Petrol 1.5L Manual Dual Tone,Petrol,Manual,1497,,Hyundai,Creta,,FWD,model_uniform,high,AUTO_ACCEPT_MODEL_UNIFORM,legacy_model_family_uniform_valid_drivetrain
Hyundai,Creta,SX Premium Petrol 1.5L CVT Speed Automatic (CVT),Petrol,Automatic (CVT),1497,,Hyundai,Creta,,FWD,model_uniform,high,AUTO_ACCEPT_MODEL_UNIFORM,legacy_model_family_uniform_valid_drivetrain
Hyundai,Creta,SX Premium Diesel 1.5L Turbo Manual,Diesel,Manual,1493,,Hyundai,Creta,,FWD,model_uniform,high,AUTO_ACCEPT_MODEL_UNIFORM,legacy_model_family_uniform_valid_drivetrain
Hyundai,Creta,SX Premium Petrol 1.5L CVT Speed Automatic (CVT) Dual Tone,Petrol,Automatic (CVT),1497,,Hyundai,Creta,,FWD,model_uniform,high,AUTO_ACCEPT_MODEL_UNIFORM,legacy_model_family_uniform_valid_drivetrain
Hyundai,Creta,SX Premium Diesel 1.5L Turbo Manual Dual Tone,Diesel,Manual,1493,,Hyundai,Creta,,FWD,model_uniform,high,AUTO_ACCEPT_MODEL_UNIFORM,legacy_model_family_uniform_valid_drivetrain
Hyundai,Creta,King Edition Petrol 1.5L CVT Speed Automatic (CVT),Petrol,Automatic (CVT),1497,,Hyundai,Creta,,FWD,model_uniform,high,AUTO_ACCEPT_MODEL_UNIFORM,legacy_model_family_uniform_valid_drivetrain
Hyundai,Creta,King Knight Edition Petrol 1.5L CVT Speed Automatic (CVT),Petrol,Automatic (CVT),1497,,Hyundai,Creta,,FWD,model_uniform,high,AUTO_ACCEPT_MODEL_UNIFORM,legacy_model_family_uniform_valid_drivetrain
Hyundai,Creta,King Edition Diesel 1.5L Turbo Manual,Diesel,Manual,1493,,Hyundai,Creta,,FWD,model_uniform,high,AUTO_ACCEPT_MODEL_UNIFORM,legacy_model_family_uniform_valid_drivetrain
Hyundai,Creta,King Edition Diesel 1.5L Turbo Manual Dual Tone,Diesel,Manual,1493,,Hyundai,Creta,,FWD,model_uniform,high,AUTO_ACCEPT_MODEL_UNIFORM,legacy_model_family_uniform_valid_drivetrain
Hyundai,Creta,King Edition Diesel 1.5L Turbo Automatic (TC),Diesel,Automatic (TC),1493,,Hyundai,Creta,,FWD,model_uniform,high,AUTO_ACCEPT_MODEL_UNIFORM,legacy_model_family_uniform_valid_drivetrain
Hyundai,Creta,King Edition Petrol 1.5L Automatic (DCT),Petrol,Automatic (DCT),1482,,Hyundai,Creta,,FWD,model_uniform,high,AUTO_ACCEPT_MODEL_UNIFORM,legacy_model_family_uniform_valid_drivetrain
Hyundai,Creta,King Edition Diesel 1.5L Turbo Automatic (TC) Dual Tone,Diesel,Automatic (TC),1493,,Hyundai,Creta,,FWD,model_uniform,high,AUTO_ACCEPT_MODEL_UNIFORM,legacy_model_family_uniform_valid_drivetrain
Hyundai,Creta,King Edition Petrol 1.5L Turbo Automatic (DCT) Dual Tone,Petrol,Automatic (DCT),1482,,Hyundai,Creta,,FWD,model_uniform,high,AUTO_ACCEPT_MODEL_UNIFORM,legacy_model_family_uniform_valid_drivetrain
Mahindra,XUV 3XO,MX1 Petrol 1.2L Turbo Manual,Petrol,Manual,1197,,,,,FWD,explicit_override,verified,EXPLICIT_VERIFIED_OVERRIDE,explicit_verified_override
Mahindra,XUV 3XO,REVX M Petrol 1.2L Turbo Manual,Petrol,Manual,1197,,,,,FWD,explicit_override,verified,EXPLICIT_VERIFIED_OVERRIDE,explicit_verified_override
Mahindra,XUV 3XO,REVX M (O) Petrol 1.2L Turbo Manual,Petrol,Manual,1197,,,,,FWD,explicit_override,verified,EXPLICIT_VERIFIED_OVERRIDE,explicit_verified_override
Mahindra,XUV 3XO,MX2 Pro Petrol 1.2L Turbo Manual,Petrol,Manual,1197,,,,,FWD,explicit_override,verified,EXPLICIT_VERIFIED_OVERRIDE,explicit_verified_override
Mahindra,XUV 3XO,MX3 Petrol 1.2L Turbo Manual,Petrol,Manual,1197,,,,,FWD,explicit_override,verified,EXPLICIT_VERIFIED_OVERRIDE,explicit_verified_override
Mahindra,XUV 3XO,MX2 Diesel 1.5L Turbo Manual,Diesel,Manual,1498,,,,,FWD,explicit_override,verified,EXPLICIT_VERIFIED_OVERRIDE,explicit_verified_override
Mahindra,XUV 3XO,MX3 Pro Petrol 1.2L Turbo Manual,Petrol,Manual,1197,,,,,FWD,explicit_override,verified,EXPLICIT_VERIFIED_OVERRIDE,explicit_verified_override
Mahindra,XUV 3XO,MX2 Pro Diesel 1.5L Turbo Manual,Diesel,Manual,1498,,,,,FWD,explicit_override,verified,EXPLICIT_VERIFIED_OVERRIDE,explicit_verified_override
Mahindra,XUV 3XO,MX2 Pro Petrol 1.2L Turbo Automatic (TC),Petrol,Automatic (TC),1197,,,,,FWD,explicit_override,verified,EXPLICIT_VERIFIED_OVERRIDE,explicit_verified_override
Mahindra,XUV 3XO,AX5 Petrol 1.2L Turbo Manual,Petrol,Manual,1197,,,,,FWD,explicit_override,verified,EXPLICIT_VERIFIED_OVERRIDE,explicit_verified_override
Mahindra,XUV 3XO,MX3 Diesel 1.5L Turbo Manual,Diesel,Manual,1498,,,,,FWD,explicit_override,verified,EXPLICIT_VERIFIED_OVERRIDE,explicit_verified_override
Mahindra,XUV 3XO,MX3 Pro Diesel 1.5L Turbo Manual,Diesel,Manual,1498,,,,,FWD,explicit_override,verified,EXPLICIT_VERIFIED_OVERRIDE,explicit_verified_override
Mahindra,XUV 3XO,MX3 Petrol 1.2L Turbo Automatic (TC),Petrol,Automatic (TC),1197,,,,,FWD,explicit_override,verified,EXPLICIT_VERIFIED_OVERRIDE,explicit_verified_override
Mahindra,XUV 3XO,MX3 Pro Petrol 1.2L Turbo Automatic (TC),Petrol,Automatic (TC),1197,,,,,FWD,explicit_override,verified,EXPLICIT_VERIFIED_OVERRIDE,explicit_verified_override
Mahindra,XUV 3XO,MX3 Diesel 1.5L Turbo Automatic (AMT),Diesel,Automatic (AMT),1498,,,,,FWD,explicit_override,verified,EXPLICIT_VERIFIED_OVERRIDE,explicit_verified_override
Mahindra,XUV 3XO,REVX A Petrol 1.2L Turbo Manual,Petrol,Manual,1197,,,,,FWD,explicit_override,verified,EXPLICIT_VERIFIED_OVERRIDE,explicit_verified_override
Mahindra,XUV 3XO,AX5 Diesel 1.5L Turbo Manual,Diesel,Manual,1498,,,,,FWD,explicit_override,verified,EXPLICIT_VERIFIED_OVERRIDE,explicit_verified_override
Mahindra,XUV 3XO,AX5 Petrol 1.2L Turbo Automatic (TC),Petrol,Automatic (TC),1197,,,,,FWD,explicit_override,verified,EXPLICIT_VERIFIED_OVERRIDE,explicit_verified_override
Mahindra,XUV 3XO,AX5L Petrol 1.2L Turbo Manual,Petrol,Manual,1197,,,,,FWD,explicit_override,verified,EXPLICIT_VERIFIED_OVERRIDE,explicit_verified_override
Mahindra,XUV 3XO,AX5 Diesel 1.5L Turbo Automatic (AMT),Diesel,Automatic (AMT),1498,,,,,FWD,explicit_override,verified,EXPLICIT_VERIFIED_OVERRIDE,explicit_verified_override
Mahindra,XUV 3XO,AX7 Petrol 1.2L Turbo Manual Dual Tone,Petrol,Manual,1197,,,,,FWD,explicit_override,verified,EXPLICIT_VERIFIED_OVERRIDE,explicit_verified_override
Mahindra,XUV 3XO,REVX A Petrol 1.2L Turbo Automatic (TC),Petrol,Automatic (TC),1197,,,,,FWD,explicit_override,verified,EXPLICIT_VERIFIED_OVERRIDE,explicit_verified_override
Mahindra,XUV 3XO,AX7 Diesel 1.5L Turbo Manual Dual Tone,Diesel,Manual,1498,,,,,FWD,explicit_override,verified,EXPLICIT_VERIFIED_OVERRIDE,explicit_verified_override
Mahindra,XUV 3XO,AX5L Petrol 1.2L Turbo Automatic (TC),Petrol,Automatic (TC),1197,,,,,FWD,explicit_override,verified,EXPLICIT_VERIFIED_OVERRIDE,explicit_verified_override
Mahindra,XUV 3XO,AX7 Petrol 1.2L Turbo Automatic (TC) Dual Tone,Petrol,Automatic (TC),1197,,,,,FWD,explicit_override,verified,EXPLICIT_VERIFIED_OVERRIDE,explicit_verified_override
Mahindra,XUV 3XO,AX7 Diesel 1.5L Turbo Automatic (AMT) Dual Tone,Diesel,Automatic (AMT),1498,,,,,FWD,explicit_override,verified,EXPLICIT_VERIFIED_OVERRIDE,explicit_verified_override
Maruti Suzuki,Swift,LXi Petrol Manual,Petrol,Manual,1197,,Maruti Suzuki,Swift,,FWD,model_uniform,high,AUTO_ACCEPT_MODEL_UNIFORM,legacy_model_family_uniform_valid_drivetrain
Maruti Suzuki,Swift,VXi Petrol Manual,Petrol,Manual,1197,,Maruti Suzuki,Swift,,FWD,model_uniform,high,AUTO_ACCEPT_MODEL_UNIFORM,legacy_model_family_uniform_valid_drivetrain
Maruti Suzuki,Swift,VXi (O) Petrol Manual,Petrol,Manual,1197,,Maruti Suzuki,Swift,,FWD,model_uniform,high,AUTO_ACCEPT_MODEL_UNIFORM,legacy_model_family_uniform_valid_drivetrain
Maruti Suzuki,Swift,VXi Petrol Automatic,Petrol,Automatic (AMT),1197,,Maruti Suzuki,Swift,,FWD,model_uniform,high,AUTO_ACCEPT_MODEL_UNIFORM,legacy_model_family_uniform_valid_drivetrain
Maruti Suzuki,Swift,VXi (O) Petrol Automatic,Petrol,Automatic (AMT),1197,,Maruti Suzuki,Swift,,FWD,model_uniform,high,AUTO_ACCEPT_MODEL_UNIFORM,legacy_model_family_uniform_valid_drivetrain
Maruti Suzuki,Swift,VXi CNG Manual,CNG,Manual,1197,,Maruti Suzuki,Swift,,FWD,model_uniform,high,AUTO_ACCEPT_MODEL_UNIFORM,legacy_model_family_uniform_valid_drivetrain
Maruti Suzuki,Swift,ZXi Petrol Manual,Petrol,Manual,1197,,Maruti Suzuki,Swift,,FWD,model_uniform,high,AUTO_ACCEPT_MODEL_UNIFORM,legacy_model_family_uniform_valid_drivetrain
Maruti Suzuki,Swift,VXi (O) CNG Manual,CNG,Manual,1197,,Maruti Suzuki,Swift,,FWD,model_uniform,high,AUTO_ACCEPT_MODEL_UNIFORM,legacy_model_family_uniform_valid_drivetrain
Maruti Suzuki,Swift,ZXi Petrol Automatic,Petrol,Automatic (AMT),1197,,Maruti Suzuki,Swift,,FWD,model_uniform,high,AUTO_ACCEPT_MODEL_UNIFORM,legacy_model_family_uniform_valid_drivetrain
Maruti Suzuki,Swift,ZXi Plus Petrol Manual,Petrol,Manual,1197,,Maruti Suzuki,Swift,,FWD,model_uniform,high,AUTO_ACCEPT_MODEL_UNIFORM,legacy_model_family_uniform_valid_drivetrain
Maruti Suzuki,Swift,ZXi Plus Petrol Manual Dual Tone,Petrol,Manual,1197,,Maruti Suzuki,Swift,,FWD,model_uniform,high,AUTO_ACCEPT_MODEL_UNIFORM,legacy_model_family_uniform_valid_drivetrain
Maruti Suzuki,Swift,ZXi CNG Manual,CNG,Manual,1197,,Maruti Suzuki,Swift,,FWD,model_uniform,high,AUTO_ACCEPT_MODEL_UNIFORM,legacy_model_family_uniform_valid_drivetrain
Maruti Suzuki,Swift,ZXi Plus Petrol Automatic,Petrol,Automatic (AMT),1197,,Maruti Suzuki,Swift,,FWD,model_uniform,high,AUTO_ACCEPT_MODEL_UNIFORM,legacy_model_family_uniform_valid_drivetrain
Maruti Suzuki,Swift,ZXi Plus Petrol Automatic Dual Tone,Petrol,Automatic (AMT),1197,,Maruti Suzuki,Swift,,FWD,model_uniform,high,AUTO_ACCEPT_MODEL_UNIFORM,legacy_model_family_uniform_valid_drivetrain
MG,Windsor EV,Excite,Electric,Automatic,,,,,,FWD,explicit_override,verified,EXPLICIT_VERIFIED_OVERRIDE,explicit_verified_override
Tata,Nexon,Smart CNG 1.2L Turbo 6 Speed Manual,CNG,Manual,1199,,Tata,Nexon,,FWD,model_uniform,high,AUTO_ACCEPT_MODEL_UNIFORM,legacy_model_family_uniform_valid_drivetrain
Tata,Nexon,Smart Plus (S) Petrol 1.2L Turbo 5 Speed Manual,Petrol,Manual,1199,,Tata,Nexon,,FWD,model_uniform,high,AUTO_ACCEPT_MODEL_UNIFORM,legacy_model_family_uniform_valid_drivetrain
Tata,Nexon,Smart Plus Petrol 1.2L Turbo Automatic (AMT),Petrol,Automatic (AMT),1199,,Tata,Nexon,,FWD,model_uniform,high,AUTO_ACCEPT_MODEL_UNIFORM,legacy_model_family_uniform_valid_drivetrain
Tata,Nexon,Pure Plus Petrol 1.2L Turbo 6 Speed Manual,Petrol,Manual,1199,,Tata,Nexon,,FWD,model_uniform,high,AUTO_ACCEPT_MODEL_UNIFORM,legacy_model_family_uniform_valid_drivetrain
Tata,Nexon,Smart Plus Diesel 1.5L Turbo 6 Speed Manual,Diesel,Manual,1497,,Tata,Nexon,,FWD,model_uniform,high,AUTO_ACCEPT_MODEL_UNIFORM,legacy_model_family_uniform_valid_drivetrain
Tata,Nexon,Smart Plus CNG 1.2L Turbo 6 Speed Manual,CNG,Manual,1199,,Tata,Nexon,,FWD,model_uniform,high,AUTO_ACCEPT_MODEL_UNIFORM,legacy_model_family_uniform_valid_drivetrain
Tata,Nexon,Pure Plus (S) Petrol 1.2L Turbo 6 Speed Manual,Petrol,Manual,1199,,Tata,Nexon,,FWD,model_uniform,high,AUTO_ACCEPT_MODEL_UNIFORM,legacy_model_family_uniform_valid_drivetrain
Tata,Nexon,Smart Plus (S) Diesel 1.5L Turbo 6 Speed Manual,Diesel,Manual,1497,,Tata,Nexon,,FWD,model_uniform,high,AUTO_ACCEPT_MODEL_UNIFORM,legacy_model_family_uniform_valid_drivetrain
Tata,Nexon,Smart Plus (S) CNG 1.2L Turbo 6 Speed Manual,CNG,Manual,1199,,Tata,Nexon,,FWD,model_uniform,high,AUTO_ACCEPT_MODEL_UNIFORM,legacy_model_family_uniform_valid_drivetrain
Tata,Nexon,Pure Plus (PS) Petrol 1.2L Turbo 6 Speed Manual,Petrol,Manual,1199,,Tata,Nexon,,FWD,model_uniform,high,AUTO_ACCEPT_MODEL_UNIFORM,legacy_model_family_uniform_valid_drivetrain
Tata,Nexon,Pure Plus Petrol 1.2L Turbo Automatic (AMT),Petrol,Automatic (AMT),1199,,Tata,Nexon,,FWD,model_uniform,high,AUTO_ACCEPT_MODEL_UNIFORM,legacy_model_family_uniform_valid_drivetrain
Tata,Nexon,Pure Plus CNG 1.2L Turbo 6 Speed Manual,CNG,Manual,1199,,Tata,Nexon,,FWD,model_uniform,high,AUTO_ACCEPT_MODEL_UNIFORM,legacy_model_family_uniform_valid_drivetrain
Tata,Nexon,Pure Plus (S) Petrol 1.2L Turbo Automatic (AMT),Petrol,Automatic (AMT),1199,,Tata,Nexon,,FWD,model_uniform,high,AUTO_ACCEPT_MODEL_UNIFORM,legacy_model_family_uniform_valid_drivetrain
Tata,Nexon,Pure Plus (S) CNG 1.2L Turbo 6 Speed Manual,CNG,Manual,1199,,Tata,Nexon,,FWD,model_uniform,high,AUTO_ACCEPT_MODEL_UNIFORM,legacy_model_family_uniform_valid_drivetrain
Tata,Nexon,Pure Plus Diesel 1.5L Turbo 6 Speed Manual,Diesel,Manual,1497,,Tata,Nexon,,FWD,model_uniform,high,AUTO_ACCEPT_MODEL_UNIFORM,legacy_model_family_uniform_valid_drivetrain
Tata,Nexon,Pure Plus (PS) Petrol 1.2L Turbo Automatic (AMT),Petrol,Automatic (AMT),1199,,Tata,Nexon,,FWD,model_uniform,high,AUTO_ACCEPT_MODEL_UNIFORM,legacy_model_family_uniform_valid_drivetrain
Tata,Nexon,Pure Plus (S) Diesel 1.5L Turbo 6 Speed Manual,Diesel,Manual,1497,,Tata,Nexon,,FWD,model_uniform,high,AUTO_ACCEPT_MODEL_UNIFORM,legacy_model_family_uniform_valid_drivetrain
Tata,Nexon,Creative Plus (S) Petrol 1.2L Turbo 6 Speed Manual,Petrol,Manual,1199,,Tata,Nexon,,FWD,model_uniform,high,AUTO_ACCEPT_MODEL_UNIFORM,legacy_model_family_uniform_valid_drivetrain
Tata,Nexon,Pure Plus (PS) CNG 1.2L Turbo 6 Speed Manual,CNG,Manual,1199,,Tata,Nexon,,FWD,model_uniform,high,AUTO_ACCEPT_MODEL_UNIFORM,legacy_model_family_uniform_valid_drivetrain
Tata,Nexon,Pure Plus (PS) Diesel 1.5L Turbo 6 Speed Manual,Diesel,Manual,1497,,Tata,Nexon,,FWD,model_uniform,high,AUTO_ACCEPT_MODEL_UNIFORM,legacy_model_family_uniform_valid_drivetrain
Tata,Nexon,Pure Plus Diesel 1.5L Turbo Automatic (AMT),Diesel,Automatic (AMT),1497,,Tata,Nexon,,FWD,model_uniform,high,AUTO_ACCEPT_MODEL_UNIFORM,legacy_model_family_uniform_valid_drivetrain
Tata,Nexon,Creative Petrol 1.2L Turbo Automatic (AMT),Petrol,Automatic (AMT),1199,,Tata,Nexon,,FWD,model_uniform,high,AUTO_ACCEPT_MODEL_UNIFORM,legacy_model_family_uniform_valid_drivetrain
Tata,Nexon,Creative CNG 1.2L Turbo 6 Speed Manual,CNG,Manual,1199,,Tata,Nexon,,FWD,model_uniform,high,AUTO_ACCEPT_MODEL_UNIFORM,legacy_model_family_uniform_valid_drivetrain
Tata,Nexon,Creative Plus (S) Petrol 1.2L Turbo Automatic (AMT),Petrol,Automatic (AMT),1199,,Tata,Nexon,,FWD,model_uniform,high,AUTO_ACCEPT_MODEL_UNIFORM,legacy_model_family_uniform_valid_drivetrain
Tata,Nexon,Pure Plus (PS) Diesel 1.5L Turbo Automatic (AMT),Diesel,Automatic (AMT),1497,,Tata,Nexon,,FWD,model_uniform,high,AUTO_ACCEPT_MODEL_UNIFORM,legacy_model_family_uniform_valid_drivetrain
Tata,Nexon,Creative Diesel 1.5L Turbo 6 Speed Manual,Diesel,Manual,1497,,Tata,Nexon,,FWD,model_uniform,high,AUTO_ACCEPT_MODEL_UNIFORM,legacy_model_family_uniform_valid_drivetrain
Tata,Nexon,Creative Plus (PS) Petrol 1.2L Turbo 6 Speed Manual Dual Tone,Petrol,Manual,1199,,Tata,Nexon,,FWD,model_uniform,high,AUTO_ACCEPT_MODEL_UNIFORM,legacy_model_family_uniform_valid_drivetrain
Tata,Nexon,Creative Plus (S) CNG 1.2L Turbo 6 Speed Manual,CNG,Manual,1199,,Tata,Nexon,,FWD,model_uniform,high,AUTO_ACCEPT_MODEL_UNIFORM,legacy_model_family_uniform_valid_drivetrain
Tata,Nexon,Creative Plus (S) Diesel 1.5L Turbo 6 Speed Manual,Diesel,Manual,1497,,Tata,Nexon,,FWD,model_uniform,high,AUTO_ACCEPT_MODEL_UNIFORM,legacy_model_family_uniform_valid_drivetrain
Tata,Nexon,Creative Diesel 1.5L Turbo Automatic (AMT),Diesel,Automatic (AMT),1497,,Tata,Nexon,,FWD,model_uniform,high,AUTO_ACCEPT_MODEL_UNIFORM,legacy_model_family_uniform_valid_drivetrain
Tata,Nexon,Creative Plus (S) Diesel 1.5L Turbo Automatic (AMT),Diesel,Automatic (AMT),1497,,Tata,Nexon,,FWD,model_uniform,high,AUTO_ACCEPT_MODEL_UNIFORM,legacy_model_family_uniform_valid_drivetrain
Tata,Nexon,Creative Plus (PS) CNG 1.2L Turbo 6 Speed Manual Dual Tone,CNG,Manual,1199,,Tata,Nexon,,FWD,model_uniform,high,AUTO_ACCEPT_MODEL_UNIFORM,legacy_model_family_uniform_valid_drivetrain
Tata,Nexon,Creative Plus (PS) CNG 1.2L Turbo 6 Speed Manual,CNG,Manual,1199,,Tata,Nexon,,FWD,model_uniform,high,AUTO_ACCEPT_MODEL_UNIFORM,legacy_model_family_uniform_valid_drivetrain
Tata,Nexon,Creative Plus (PS) Petrol 1.2L Turbo Automatic (DCT) Dual Tone,Petrol,Automatic (DCT),1199,,Tata,Nexon,,FWD,model_uniform,high,AUTO_ACCEPT_MODEL_UNIFORM,legacy_model_family_uniform_valid_drivetrain
Tata,Nexon,Creative Plus (PS) Diesel 1.5L Turbo 6 Speed Manual Dual Tone,Diesel,Manual,1497,,Tata,Nexon,,FWD,model_uniform,high,AUTO_ACCEPT_MODEL_UNIFORM,legacy_model_family_uniform_valid_drivetrain
Tata,Nexon,Creative Plus (PS) Diesel 1.5L Turbo Automatic (AMT) Dual Tone,Diesel,Automatic (AMT),1497,,Tata,Nexon,,FWD,model_uniform,high,AUTO_ACCEPT_MODEL_UNIFORM,legacy_model_family_uniform_valid_drivetrain
Tata,Nexon,Fearless Plus (PS) CNG 1.2L Turbo 6 Speed Manual Dual Tone,CNG,Manual,1199,,Tata,Nexon,,FWD,model_uniform,high,AUTO_ACCEPT_MODEL_UNIFORM,legacy_model_family_uniform_valid_drivetrain
Tata,Nexon,Fearless Plus (PS) Diesel 1.5L Turbo 6 Speed Manual Dual Tone,Diesel,Manual,1497,,Tata,Nexon,,FWD,model_uniform,high,AUTO_ACCEPT_MODEL_UNIFORM,legacy_model_family_uniform_valid_drivetrain
Tata,Nexon,Fearless Plus (PS) CNG 1.2L Turbo 6 Speed Manual,CNG,Manual,1199,,Tata,Nexon,,FWD,model_uniform,high,AUTO_ACCEPT_MODEL_UNIFORM,legacy_model_family_uniform_valid_drivetrain
Tata,Nexon,Fearless Plus (PS) CNG 1.2L Turbo 6 Speed Manual Dark Edition,CNG,Manual,1199,,Tata,Nexon,,FWD,model_uniform,high,AUTO_ACCEPT_MODEL_UNIFORM,legacy_model_family_uniform_valid_drivetrain
