legacy_make,legacy_model,legacy_variant_count,legacy_body_types,current_status,selection_decision,current_model_name,generation_action,lineup_refresh_needed,price_refresh_needed,modern_feature_refresh_needed,audited_replacement,reason,verification_source,final_selected,final_priority,refresh_effort,recommendation_role,drop_reason
Honda,Brv,8,SUV,not_current_in_selected_market_scope,DROP_DISCONTINUED_MODEL,,drop,False,False,False,False,"Legacy model is discontinued, superseded without selection, or outside the bounded recommendation shortlist.",https://www.hondacarindia.com/,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Honda,City,10,Sedan,current_in_india,KEEP_BUT_REFRESH_LINEUP,New City,refresh_current_lineup,True,True,True,False,Official Honda page lists New City; retain with price/lineup refresh.,https://www.hondacarindia.com/,True,DIVERSITY,LOW,sedan,
Honda,Civic,5,Sedan,not_current_in_selected_market_scope,DROP_DISCONTINUED_MODEL,,drop,False,False,False,False,"Legacy model is discontinued, superseded without selection, or outside the bounded recommendation shortlist.",https://www.hondacarindia.com/,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Honda,Cr-V,3,SUV,not_current_in_selected_market_scope,DROP_DISCONTINUED_MODEL,,drop,False,False,False,False,"Legacy model is discontinued, superseded without selection, or outside the bounded recommendation shortlist.",https://www.hondacarindia.com/,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Honda,Jazz,8,Hatchback,not_current_in_selected_market_scope,DROP_DISCONTINUED_MODEL,,drop,False,False,False,False,"Legacy model is discontinued, superseded without selection, or outside the bounded recommendation shortlist.",https://www.hondacarindia.com/,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Honda,Wr-V,9,SUV,not_current_in_selected_market_scope,DROP_DISCONTINUED_MODEL,,drop,False,False,False,False,"Legacy model is discontinued, superseded without selection, or outside the bounded recommendation shortlist.",https://www.hondacarindia.com/,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Hyundai,Aura,12,Sedan,current_in_india,KEEP_BUT_REFRESH_LINEUP,Aura,refresh_current_lineup,True,True,True,False,Official Hyundai page lists Aura with petrol/CNG.,https://www.hyundai.com/in/en/find-a-car,True,DIVERSITY,LOW,sedan,
Hyundai,Creta,18,SUV,current_audited,AUDITED_REPLACEMENT,Creta,use_audited_replacement,False,False,False,True,Audited Hyundai Creta rows are authoritative.,https://www.hyundai.com/in/en/find-a-car,True,CORE,LOW,midsize_suv,
Hyundai,Elantra,4,Sedan,not_current_in_selected_market_scope,DROP_DISCONTINUED_MODEL,,drop,False,False,False,False,"Legacy model is discontinued, superseded without selection, or outside the bounded recommendation shortlist.",https://www.hyundai.com/in/en/find-a-car,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Hyundai,Elite I20,12,Hatchback,current_in_india,KEEP_BUT_REPLACE_GENERATION,i20,replace_current_generation,True,True,True,False,Legacy Elite i20 identity should be replaced by current Hyundai i20 lineup.,https://www.hyundai.com/in/en/find-a-car,False,DROP,HIGH,,"Dropped as redundant high-effort hatchback; Swift, Baleno, Altroz, Grand i10 NIOS, Tiago, and WagonR cover hatchbacks."
Hyundai,Grand I10,6,Hatchback,not_current_in_selected_market_scope,DROP_DISCONTINUED_MODEL,,drop,False,False,False,False,"Legacy model is discontinued, superseded without selection, or outside the bounded recommendation shortlist.",https://www.hyundai.com/in/en/find-a-car,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Hyundai,Grand I10 Nios,10,Hatchback,current_in_india,KEEP_BUT_REFRESH_LINEUP,Grand i10 NIOS,refresh_current_lineup,True,True,True,False,Official Hyundai page lists Grand i10 NIOS with petrol/CNG.,https://www.hyundai.com/in/en/find-a-car,True,DIVERSITY,LOW,budget_hatchback,
Hyundai,Grand I10 Prime,6,Hatchback,not_current_in_selected_market_scope,DROP_DISCONTINUED_MODEL,,drop,False,False,False,False,"Legacy model is discontinued, superseded without selection, or outside the bounded recommendation shortlist.",https://www.hyundai.com/in/en/find-a-car,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Hyundai,I20 Active,4,Hatchback,not_current_in_selected_market_scope,DROP_DISCONTINUED_MODEL,,drop,False,False,False,False,"Legacy model is discontinued, superseded without selection, or outside the bounded recommendation shortlist.",https://www.hyundai.com/in/en/find-a-car,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Hyundai,Kona Electric,1,SUV,not_current_in_selected_market_scope,DROP_DISCONTINUED_MODEL,,drop,False,False,False,False,"Legacy model is discontinued, superseded without selection, or outside the bounded recommendation shortlist.",https://www.hyundai.com/in/en/find-a-car,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Hyundai,Santro,8,Hatchback,not_current_in_selected_market_scope,DROP_DISCONTINUED_MODEL,,drop,False,False,False,False,"Legacy model is discontinued, superseded without selection, or outside the bounded recommendation shortlist.",https://www.hyundai.com/in/en/find-a-car,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Hyundai,Tucson,8,SUV,not_current_in_selected_market_scope,DROP_DISCONTINUED_MODEL,,drop,False,False,False,False,"Legacy model is discontinued, superseded without selection, or outside the bounded recommendation shortlist.",https://www.hyundai.com/in/en/find-a-car,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Hyundai,Venue,13,SUV,current_in_india,KEEP_BUT_REFRESH_LINEUP,Venue,refresh_current_lineup,True,True,True,False,Official Hyundai page lists Venue with petrol/diesel and multiple transmissions.,https://www.hyundai.com/in/en/find-a-car,True,CORE,LOW,compact_suv,
Hyundai,Verna,13,Sedan,current_in_india,KEEP_BUT_REPLACE_GENERATION,Verna,replace_current_generation,True,True,True,False,Current Verna is newer generation and petrol-only; replace old diesel/petrol legacy rows.,https://www.hyundai.com/in/en/find-a-car,True,DIVERSITY,HIGH,sedan,
Hyundai,Xcent,9,Sedan,not_current_in_selected_market_scope,DROP_DISCONTINUED_MODEL,,drop,False,False,False,False,"Legacy model is discontinued, superseded without selection, or outside the bounded recommendation shortlist.",https://www.hyundai.com/in/en/find-a-car,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Hyundai,Xcent Prime,6,Sedan,not_current_in_selected_market_scope,DROP_DISCONTINUED_MODEL,,drop,False,False,False,False,"Legacy model is discontinued, superseded without selection, or outside the bounded recommendation shortlist.",https://www.hyundai.com/in/en/find-a-car,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Icml,Extreme,11,SUV,make_discontinued_or_no_current_india_passenger_sales,DROP_DISCONTINUED_MAKE,,drop,False,False,False,False,Make is discontinued/absent from current Indian passenger-car market for this compact refresh scope.,,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Isuzu,Dmax V-Cross,3,Pick-up,current_or_successor_available_not_shortlisted,REVIEW_REQUIRED,Dmax V-Cross,review_if_expanding_scope,True,True,True,False,Pickup lifestyle model; not selected for core car recommender dataset.,,False,DROP,HIGH,,Review-required model not promoted; does not add enough value for this small hybrid refresh.
Isuzu,Mu-X,2,SUV,current_or_successor_available_not_shortlisted,REVIEW_REQUIRED,Mu-X,review_if_expanding_scope,True,True,True,False,Niche SUV; current status requires deeper verification if premium diesel SUVs are expanded.,,False,DROP,HIGH,,Review-required model not promoted; does not add enough value for this small hybrid refresh.
Jaguar,F-Pace,2,SUV,not_current_in_selected_market_scope,DROP_DISCONTINUED_MODEL,,drop,False,False,False,False,"Legacy model is discontinued, superseded without selection, or outside the bounded recommendation shortlist.",,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Jaguar,F-Type,8,Convertible|Coupe,not_current_in_selected_market_scope,DROP_DISCONTINUED_MODEL,,drop,False,False,False,False,"Legacy model is discontinued, superseded without selection, or outside the bounded recommendation shortlist.",,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Jaguar,Xe,4,Sedan,not_current_in_selected_market_scope,DROP_DISCONTINUED_MODEL,,drop,False,False,False,False,"Legacy model is discontinued, superseded without selection, or outside the bounded recommendation shortlist.",,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Jaguar,Xf,5,Sedan,not_current_in_selected_market_scope,DROP_DISCONTINUED_MODEL,,drop,False,False,False,False,"Legacy model is discontinued, superseded without selection, or outside the bounded recommendation shortlist.",,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Jaguar,Xj,3,Sedan,not_current_in_selected_market_scope,DROP_DISCONTINUED_MODEL,,drop,False,False,False,False,"Legacy model is discontinued, superseded without selection, or outside the bounded recommendation shortlist.",,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Jeep,Compass,21,SUV,current_or_successor_available_not_shortlisted,REVIEW_REQUIRED,Compass,review_if_expanding_scope,True,True,True,False,"Current model verified, but omitted from shortlist to stay under cap; candidate premium SUV fallback.",https://www.jeep-india.com/,False,DROP,HIGH,,Review-required model not promoted; does not add enough value for this small hybrid refresh.
Jeep,Compass Trailhawk,2,SUV,not_current_in_selected_market_scope,DROP_DISCONTINUED_MODEL,,drop,False,False,False,False,"Legacy model is discontinued, superseded without selection, or outside the bounded recommendation shortlist.",https://www.jeep-india.com/,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Jeep,Grand Cherokee,4,SUV,current_or_successor_available_not_shortlisted,REVIEW_REQUIRED,Grand Cherokee,review_if_expanding_scope,True,True,True,False,"Current premium SUV, omitted as high-price/low-volume.",https://www.jeep-india.com/,False,DROP,HIGH,,Review-required model not promoted; does not add enough value for this small hybrid refresh.
Jeep,Wrangler,1,SUV,current_or_successor_available_not_shortlisted,REVIEW_REQUIRED,Wrangler,review_if_expanding_scope,True,True,True,False,"Current premium off-roader, omitted as low-volume/high-price.",https://www.jeep-india.com/,False,DROP,HIGH,,Review-required model not promoted; does not add enough value for this small hybrid refresh.
Kia,Carnival,5,MUV,not_current_in_selected_market_scope,DROP_DISCONTINUED_MODEL,,drop,False,False,False,False,"Legacy model is discontinued, superseded without selection, or outside the bounded recommendation shortlist.",https://www.kia.com/in/home.html,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Kia,Seltos,16,SUV,current_in_india,KEEP_BUT_REPLACE_GENERATION,All New Seltos,replace_current_generation,True,True,True,False,Official Kia page lists All New Seltos; legacy 2019 rows need replacement.,https://www.kia.com/in/home.html,True,CORE,HIGH,midsize_suv,
Lamborghini,Aventador,3,Convertible|Coupe,not_current_in_selected_market_scope,DROP_DISCONTINUED_MODEL,,drop,False,False,False,False,"Legacy model is discontinued, superseded without selection, or outside the bounded recommendation shortlist.",,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Lamborghini,Huracan,9,Convertible|Coupe,not_current_in_selected_market_scope,DROP_DISCONTINUED_MODEL,,drop,False,False,False,False,"Legacy model is discontinued, superseded without selection, or outside the bounded recommendation shortlist.",,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Lamborghini,Urus,1,SUV,not_current_in_selected_market_scope,DROP_DISCONTINUED_MODEL,,drop,False,False,False,False,"Legacy model is discontinued, superseded without selection, or outside the bounded recommendation shortlist.",,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Land Rover,Discovery,8,SUV,not_current_in_selected_market_scope,DROP_DISCONTINUED_MODEL,,drop,False,False,False,False,"Legacy model is discontinued, superseded without selection, or outside the bounded recommendation shortlist.",,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Land Rover,Discovery Sport,2,SUV,not_current_in_selected_market_scope,DROP_DISCONTINUED_MODEL,,drop,False,False,False,False,"Legacy model is discontinued, superseded without selection, or outside the bounded recommendation shortlist.",,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Land Rover Rover,Range,10,SUV,not_current_in_selected_market_scope,DROP_DISCONTINUED_MODEL,,drop,False,False,False,False,"Legacy model is discontinued, superseded without selection, or outside the bounded recommendation shortlist.",,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Land Rover Rover,Range Evoque,4,SUV,not_current_in_selected_market_scope,DROP_DISCONTINUED_MODEL,,drop,False,False,False,False,"Legacy model is discontinued, superseded without selection, or outside the bounded recommendation shortlist.",,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Land Rover Rover,Range Evoque Convertible,1,Convertible,not_current_in_selected_market_scope,DROP_DISCONTINUED_MODEL,,drop,False,False,False,False,"Legacy model is discontinued, superseded without selection, or outside the bounded recommendation shortlist.",,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Land Rover Rover,Range Sport,10,SUV,not_current_in_selected_market_scope,DROP_DISCONTINUED_MODEL,,drop,False,False,False,False,"Legacy model is discontinued, superseded without selection, or outside the bounded recommendation shortlist.",,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Land Rover Rover,Range Velar,2,SUV,not_current_in_selected_market_scope,DROP_DISCONTINUED_MODEL,,drop,False,False,False,False,"Legacy model is discontinued, superseded without selection, or outside the bounded recommendation shortlist.",,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Lexus,Es,1,Sedan,not_current_in_selected_market_scope,DROP_DISCONTINUED_MODEL,,drop,False,False,False,False,"Legacy model is discontinued, superseded without selection, or outside the bounded recommendation shortlist.",,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Lexus,Lc 500H,1,Coupe,not_current_in_selected_market_scope,DROP_DISCONTINUED_MODEL,,drop,False,False,False,False,"Legacy model is discontinued, superseded without selection, or outside the bounded recommendation shortlist.",,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Lexus,Ls 500H,3,SUV,not_current_in_selected_market_scope,DROP_DISCONTINUED_MODEL,,drop,False,False,False,False,"Legacy model is discontinued, superseded without selection, or outside the bounded recommendation shortlist.",,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Lexus,Lx 450D,1,SUV,not_current_in_selected_market_scope,DROP_DISCONTINUED_MODEL,,drop,False,False,False,False,"Legacy model is discontinued, superseded without selection, or outside the bounded recommendation shortlist.",,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Lexus,Lx 570,1,SUV,not_current_in_selected_market_scope,DROP_DISCONTINUED_MODEL,,drop,False,False,False,False,"Legacy model is discontinued, superseded without selection, or outside the bounded recommendation shortlist.",,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Lexus,Nx 300H,2,SUV,not_current_in_selected_market_scope,DROP_DISCONTINUED_MODEL,,drop,False,False,False,False,"Legacy model is discontinued, superseded without selection, or outside the bounded recommendation shortlist.",,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Lexus,Rx 450H,1,SUV,not_current_in_selected_market_scope,DROP_DISCONTINUED_MODEL,,drop,False,False,False,False,"Legacy model is discontinued, superseded without selection, or outside the bounded recommendation shortlist.",,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Mahindra,Alturas G4,2,SUV,not_current_in_selected_market_scope,DROP_DISCONTINUED_MODEL,,drop,False,False,False,False,"Legacy model is discontinued, superseded without selection, or outside the bounded recommendation shortlist.",https://auto.mahindra.com/suv,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Mahindra,Bolero,5,SUV,current_in_india,KEEP_BUT_REFRESH_LINEUP,Bolero,refresh_current_lineup,True,True,True,False,Official Mahindra page lists Bolero; useful rugged budget 7-seater coverage.,https://auto.mahindra.com/suv,True,DIVERSITY,LOW,mpv_7_seater,
Mahindra,Bolero Power Plus,6,SUV,not_current_in_selected_market_scope,DROP_DISCONTINUED_MODEL,,drop,False,False,False,False,"Legacy model is discontinued, superseded without selection, or outside the bounded recommendation shortlist.",https://auto.mahindra.com/suv,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Mahindra,E Verito,3,Sedan,not_current_in_selected_market_scope,DROP_DISCONTINUED_MODEL,,drop,False,False,False,False,"Legacy model is discontinued, superseded without selection, or outside the bounded recommendation shortlist.",https://auto.mahindra.com/suv,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Mahindra,E2O Plus,2,Hatchback,not_current_in_selected_market_scope,DROP_DISCONTINUED_MODEL,,drop,False,False,False,False,"Legacy model is discontinued, superseded without selection, or outside the bounded recommendation shortlist.",https://auto.mahindra.com/suv,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Mahindra,Kuv100 Nxt,22,Hatchback,not_current_in_selected_market_scope,DROP_DISCONTINUED_MODEL,,drop,False,False,False,False,"Legacy model is discontinued, superseded without selection, or outside the bounded recommendation shortlist.",https://auto.mahindra.com/suv,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Mahindra,Marazzo,8,MPV,current_in_india,KEEP_BUT_REFRESH_LINEUP,Marazzo,refresh_current_lineup,True,True,True,False,Official Mahindra page still lists Marazzo; keep for MPV/7-seater diversity but review demand relevance.,https://auto.mahindra.com/suv,False,DROP,MEDIUM,,"Dropped because Ertiga, XL6, Innova Crysta, Eeco, Bolero, and promoted Triber cover 7-seat needs with better value."
Mahindra,Nuvosport,6,SUV,not_current_in_selected_market_scope,DROP_DISCONTINUED_MODEL,,drop,False,False,False,False,"Legacy model is discontinued, superseded without selection, or outside the bounded recommendation shortlist.",https://auto.mahindra.com/suv,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Mahindra,Scorpio,9,SUV,current_in_india,KEEP_BUT_REPLACE_GENERATION,Scorpio-N / Scorpio Classic,replace_current_generation,True,True,True,False,"Legacy Scorpio should map to current Scorpio-N/Classic family, not be repriced directly.",https://auto.mahindra.com/suv,True,CORE,HIGH,highway_suv,
Mahindra,Thar,3,SUV,current_in_india,KEEP_BUT_REPLACE_GENERATION,Thar,replace_current_generation,True,True,True,False,Current Thar is newer generation than legacy rows.,https://auto.mahindra.com/suv,False,DROP,HIGH,,Dropped as niche lifestyle/off-road model with high refresh work and low broad recommendation value.
Mahindra,Tuv300,7,SUV,not_current_in_selected_market_scope,DROP_DISCONTINUED_MODEL,,drop,False,False,False,False,"Legacy model is discontinued, superseded without selection, or outside the bounded recommendation shortlist.",https://auto.mahindra.com/suv,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Mahindra,Tuv300 Plus,3,SUV,not_current_in_selected_market_scope,DROP_DISCONTINUED_MODEL,,drop,False,False,False,False,"Legacy model is discontinued, superseded without selection, or outside the bounded recommendation shortlist.",https://auto.mahindra.com/suv,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Mahindra,Verito,3,Sedan,not_current_in_selected_market_scope,DROP_DISCONTINUED_MODEL,,drop,False,False,False,False,"Legacy model is discontinued, superseded without selection, or outside the bounded recommendation shortlist.",https://auto.mahindra.com/suv,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Mahindra,Verito Vibe,3,Hatchback,not_current_in_selected_market_scope,DROP_DISCONTINUED_MODEL,,drop,False,False,False,False,"Legacy model is discontinued, superseded without selection, or outside the bounded recommendation shortlist.",https://auto.mahindra.com/suv,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Mahindra,Xuv300,11,SUV,current_audited,AUDITED_REPLACEMENT,XUV 3XO,use_audited_replacement,False,False,False,True,Audited Mahindra XUV 3XO replaces XUV300 legacy rows.,https://auto.mahindra.com/suv,True,CORE,LOW,compact_suv,
Mahindra,Xuv500,12,SUV,current_in_india,KEEP_BUT_REPLACE_GENERATION,XUV 7XO,replace_current_generation,True,True,True,False,XUV500 is obsolete; use current XUV 7XO/XUV700 successor family if retained.,https://auto.mahindra.com/suv,True,CORE,HIGH,midsize_suv,
Mahindra,Xylo,5,SUV,not_current_in_selected_market_scope,DROP_DISCONTINUED_MODEL,,drop,False,False,False,False,"Legacy model is discontinued, superseded without selection, or outside the bounded recommendation shortlist.",https://auto.mahindra.com/suv,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Maruti Suzuki,Alto,8,Hatchback,not_current_in_selected_market_scope,DROP_DISCONTINUED_MODEL,,drop,False,False,False,False,"Legacy model is discontinued, superseded without selection, or outside the bounded recommendation shortlist.",https://www.marutisuzuki.com/arena; https://www.nexaexperience.com/,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Maruti Suzuki,Alto 800 Tour,2,Hatchback,not_current_in_selected_market_scope,DROP_DISCONTINUED_MODEL,,drop,False,False,False,False,"Legacy model is discontinued, superseded without selection, or outside the bounded recommendation shortlist.",https://www.marutisuzuki.com/arena; https://www.nexaexperience.com/,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Maruti Suzuki,Alto K10,6,Hatchback,current_in_india,KEEP_BUT_REPLACE_GENERATION,Alto K10,replace_current_generation,True,True,True,False,Current Alto K10 is a newer 2022-generation car; legacy rows are old and need replacement.,https://www.marutisuzuki.com/arena; https://www.nexaexperience.com/,False,DROP,HIGH,,Dropped to avoid too many Maruti budget hatchbacks and another generation replacement.
Maruti Suzuki,Baleno,13,Hatchback,current_in_india,KEEP_BUT_REPLACE_GENERATION,Baleno,replace_current_generation,True,True,True,False,Current Baleno is the second-generation/Nexa model; retain model family but replace legacy generation specs.,https://www.marutisuzuki.com/arena; https://www.nexaexperience.com/,True,DIVERSITY,HIGH,premium_hatchback,
Maruti Suzuki,Baleno Rs,1,Hatchback,not_current_in_selected_market_scope,DROP_DISCONTINUED_MODEL,,drop,False,False,False,False,"Legacy model is discontinued, superseded without selection, or outside the bounded recommendation shortlist.",https://www.marutisuzuki.com/arena; https://www.nexaexperience.com/,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Maruti Suzuki,Celerio,11,Hatchback,current_in_india,KEEP_BUT_REPLACE_GENERATION,Celerio,replace_current_generation,True,True,True,False,Current Celerio moved to newer generation after the legacy catalogue.,https://www.marutisuzuki.com/arena; https://www.nexaexperience.com/,False,DROP,HIGH,,"Dropped as redundant budget hatchback versus WagonR, Tiago, Grand i10 NIOS, and Swift."
Maruti Suzuki,Celerio Tour,2,Hatchback,not_current_in_selected_market_scope,DROP_DISCONTINUED_MODEL,,drop,False,False,False,False,"Legacy model is discontinued, superseded without selection, or outside the bounded recommendation shortlist.",https://www.marutisuzuki.com/arena; https://www.nexaexperience.com/,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Maruti Suzuki,Celerio X,8,Hatchback,not_current_in_selected_market_scope,DROP_DISCONTINUED_MODEL,,drop,False,False,False,False,"Legacy model is discontinued, superseded without selection, or outside the bounded recommendation shortlist.",https://www.marutisuzuki.com/arena; https://www.nexaexperience.com/,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Maruti Suzuki,Ciaz,14,Sedan,not_current_in_selected_market_scope,DROP_DISCONTINUED_MODEL,,drop,False,False,False,False,"Legacy model is discontinued, superseded without selection, or outside the bounded recommendation shortlist.",https://www.marutisuzuki.com/arena; https://www.nexaexperience.com/,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Maruti Suzuki,Dzire,14,Sedan,current_in_india,KEEP_BUT_REPLACE_GENERATION,Dzire,replace_current_generation,True,True,True,False,Current Dzire is a newer-generation sedan; legacy rows are obsolete.,https://www.marutisuzuki.com/arena; https://www.nexaexperience.com/,True,DIVERSITY,HIGH,sedan,
Maruti Suzuki,Dzire Tour,3,Sedan,not_current_in_selected_market_scope,DROP_DISCONTINUED_MODEL,,drop,False,False,False,False,"Legacy model is discontinued, superseded without selection, or outside the bounded recommendation shortlist.",https://www.marutisuzuki.com/arena; https://www.nexaexperience.com/,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Maruti Suzuki,Eeco,5,MPV,current_in_india,KEEP_BUT_REFRESH_LINEUP,Eeco,refresh_current_lineup,True,True,True,False,Still listed by Maruti Arena and useful as budget van/MPV coverage.,https://www.marutisuzuki.com/arena; https://www.nexaexperience.com/,True,DIVERSITY,LOW,mpv_7_seater,
Maruti Suzuki,Ertiga,10,MPV|MUV,current_in_india,KEEP_BUT_REFRESH_LINEUP,Ertiga,refresh_current_lineup,True,True,True,False,Still listed by Maruti Arena; important CNG/MPV family model.,https://www.marutisuzuki.com/arena; https://www.nexaexperience.com/,True,CORE,LOW,mpv_7_seater,
Maruti Suzuki,Gypsy,2,SUV,not_current_in_selected_market_scope,DROP_DISCONTINUED_MODEL,,drop,False,False,False,False,"Legacy model is discontinued, superseded without selection, or outside the bounded recommendation shortlist.",https://www.marutisuzuki.com/arena; https://www.nexaexperience.com/,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Maruti Suzuki,Ignis,7,Hatchback,not_current_in_selected_market_scope,DROP_DISCONTINUED_MODEL,,drop,False,False,False,False,"Legacy model is discontinued, superseded without selection, or outside the bounded recommendation shortlist.",https://www.marutisuzuki.com/arena; https://www.nexaexperience.com/,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Maruti Suzuki,Omni,2,MPV,not_current_in_selected_market_scope,DROP_DISCONTINUED_MODEL,,drop,False,False,False,False,"Legacy model is discontinued, superseded without selection, or outside the bounded recommendation shortlist.",https://www.marutisuzuki.com/arena; https://www.nexaexperience.com/,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Maruti Suzuki,S-Cross,4,Crossover,not_current_in_selected_market_scope,DROP_DISCONTINUED_MODEL,,drop,False,False,False,False,"Legacy model is discontinued, superseded without selection, or outside the bounded recommendation shortlist.",https://www.marutisuzuki.com/arena; https://www.nexaexperience.com/,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Maruti Suzuki,S-Presso,10,Hatchback,current_in_india,KEEP_BUT_REFRESH_LINEUP,S-Presso,refresh_current_lineup,True,True,True,False,Still listed by Maruti Arena; budget hatch/crossover coverage.,https://www.marutisuzuki.com/arena; https://www.nexaexperience.com/,False,DROP,MEDIUM,,Dropped as redundant budget hatch/crossover with lower recommendation value.
Maruti Suzuki,Swift,14,Hatchback,current_audited,AUDITED_REPLACEMENT,Swift,use_audited_replacement,False,False,False,True,Audited Maruti Suzuki Swift rows are authoritative.,https://www.marutisuzuki.com/arena; https://www.nexaexperience.com/,True,CORE,LOW,budget_hatchback,
